old_cityID,X,Y,country,state,city
1909,128.1702791,46.91726072,China,Heilongjiang,Yichun
1918,-38.2157756,-9.44644448,Brazil,State of Bahia,Paulo Afonso
1972,-84.7654657,43.82499228,United States,Michigan,Clare
1988,-36.34597064,-6.867366762,Brazil,State of Para¨ªba,
2040,14.01865638,42.66273007,Italy,Abruzzo,Roseto degli Abruzzi
2042,-80.5790901,33.1912535,United States,South Carolina,Saint George
2053,6.336232018,43.38933561,France,Provence-Alpes-C?te d'Azur,Le Luc
2074,70.87296088,22.80989504,India,Gujarat,Jambudiya
2082,14.63200546,37.21126296,Italy,Sicily,Grammichele
2159,14.51963985,37.21796943,Italy,Sicily,Caltagirone
2178,119.633279,45.44602945,China,Inner Mongolia,Tongliao
2220,110.3542024,39.12740221,China,Shaanxi,Yulin
2242,-84.23026433,44.26415002,United States,Michigan,West Branch
2245,-81.93799615,32.80484354,United States,Georgia,Perkins
2264,-94.02581991,40.26899232,United States,Missouri,Bethany
2305,-95.09714571,38.93280446,United States,Kansas,Eudora
2306,-6.342841601,38.56140685,Spain,Extremadura,Villafranca de los Barros
2369,14.83105689,37.78652542,Italy,Sicily,Bronte
2405,-114.9853295,53.21615607,Canada,Alberta,Drayton Valley
2432,35.59035287,31.75261976,Jordan,Balqa Governorate,Swemeh
2492,12.22179393,45.02114171,Italy,Veneto,Porto Viro
2516,-82.39968171,33.00492802,United States,Georgia,Louisville
2529,76.76722296,52.24982838,Kazakhstan,Pavlodar Region,Leninskiy
2559,109.8771658,41.79647738,China,Inner Mongolia,Baotou
2563,122.883364,47.51232243,China,Heilongjiang,Qiqihar
2602,117.7747329,37.96773893,China,Shandong,Binzhou
2644,-120.7796068,50.10876722,Canada,British Columbia,Merritt
2682,125.2695315,48.86970015,China,Heilongjiang,Heihe
2809,78.62195094,12.67860522,India,Tamil Nadu,Vaniyambadi
2815,-93.31188217,41.01644279,United States,Iowa,Chariton
2948,3.074184688,43.21358552,France,Occitanie,Coursan
2950,-113.3799078,52.97137068,Canada,Alberta,Wetaskiwin
2955,-92.57218446,41.97549068,United States,Iowa,Tama
2990,86.11462277,55.56870982,Russia,Kemerovo Oblast,Kemerovo
3019,-90.15341159,41.44861222,United States,Illinois,Geneseo
3050,-116.4268392,53.58518455,Canada,Alberta,Edson
3053,-75.49886785,46.55036215,Canada,Quebec,Mont-Laurier
3083,-82.39339655,34.44540907,United States,South Carolina,Honea Path
3143,-93.78118623,41.03269466,United States,Iowa,Osceola
3188,76.66560785,28.60254101,India,Haryana,Silana
3189,14.56641209,37.10292129,Italy,Sicily,Mazzarrone
3195,116.9744893,45.50933754,China,Inner Mongolia,Xilingol League
3209,-1.123333058,39.50282344,Spain,Valencian Community,Requena
3211,-77.3932492,34.54468704,United States,North Carolina,Sneads Ferry
3224,-91.89174008,42.4666652,United States,Iowa,Independence
3256,-65.59651087,-22.11011773,Argentina,Jujuy,La Quiaca
3277,18.16485638,-32.77454711,South Africa,Western Cape,Velddrif
3281,-95.24144696,38.28077247,United States,Kansas,Garnett
3299,76.26745829,28.59484824,India,Haryana,Charkhi
3321,-120.352305,42.19005073,United States,Oregon,Lakeview
3351,99.64972156,56.09212087,Russia,Irkutsk Oblast,Chunskii
3381,23.19103625,52.76554617,Poland,Podlaskie Voivodeship,Bielsk Podlaski
3384,-94.34285639,38.25905369,United States,Missouri,Butler
3399,-97.37517593,47.94918891,United States,North Dakota,Grand Forks Air Force Base
3430,-85.50372402,39.35400272,United States,Indiana,Burney
3434,-98.85433855,38.88452807,United States,Kansas,Russell
3443,0.072577422,38.72771272,Spain,Valencian Community,Benissa
3444,-81.14141417,33.31820637,United States,South Carolina,Denmark
3470,103.528814,1.514735897,Malaysia,Johor,Pekan Nanas
3510,27.43337415,52.21844429,Belarus,Brest Region,Mika?evi?y
3516,72.5821028,49.71071143,Kazakhstan,Karaganda Region,Shakhtinsk
3532,-77.98772925,34.74080428,United States,North Carolina,Wallace
3551,-79.79414602,32.78426279,United States,South Carolina,Isle of Palms
3559,-4.763705141,37.39048405,Spain,Andalusia,Puente Genil
3567,-95.35833258,42.01504818,United States,Iowa,Denison
3576,-76.61030916,36.07295039,United States,North Carolina,Edenton
3577,-120.4242505,46.44579917,United States,Washington,Wapato
3585,-90.66696936,42.06112879,United States,Iowa,Maquoketa
3636,29.39192716,48.80651314,Ukraine,Vinnytsia Oblast,Haisyn
3648,-1.886471327,37.25117972,Spain,Andalusia,Vera
3650,-65.72140497,-21.43704829,Bolivia,Potosi Department,Tupiza
